Player,BattingOrder,Position,Team,Opponent,Game.ID,X1B.Ump,X2B.Ump,X3B.Ump,HP.Ump,H.A,Precipitation,Sky,Stadium,Temperature,Wind.Direction,Wind.Speed,PitchHand,HomeRun
Rio Ruiz,6,3B,BAL,OAK,OAK201906190,Chad Fairchild,John Libka,Paul Emmel,Mike Estabrook,A,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,70,from Left to Right,10,(R),0
Robert Stock,NA,P,SDP,TEX,SDN201809150,Ryan Blakney,Chris Conroy,CB Bucknor,Fieldin Culbreth,H,No Precipitation,Night,Petco Park,78,from Left to Right,11,(L),0
Chad Pinder,8,LF,OAK,KCR,OAK201909180,Greg Gibson,CB Bucknor,Ryan Additon,DJ Reyburn,H,No Precipitation,Overcast,Oakland-Alameda County Coliseum,72,out to Rightfield,11,(R),0
Brock Holt,5,1B,BOS,SFG,BOS201909190,Joe West,No Umpire,Eric Cooper,Will Little,H,No Precipitation,Sunny,Fenway Park,63,in from Rightfield,9,(L),0
Matt Adams,5,1B,WSN,CIN,WAS201908140,Mark Wegner,Jim Reynolds,Stu Scheurwater,Alan Porter,H,No Precipitation,Cloudy,Nationals Park,85,in from Leftfield,11,(R),0
Francisco Lindor,1,SS,CLE,OAK,OAK201806290,Tony Randazzo,John Libka,Bill Welke,Lance Barrett,A,No Precipitation,Night,Oakland-Alameda County Coliseum,69,out to Rightfield,13,(R),0
Trevor Story,5,SS,COL,SEA,COL201807150,Manny Gonzalez,Jansen Visconti,Jeff Nelson,Laz Diaz,H,No Precipitation,Cloudy,Coors Field,67,in from Centerfield,10,(L),1
Chad Sobotka,NA,P,ATL,WSN,ATL201909080,Bruce Dreckman,Paul Emmel,Ryan Blakney,Mike Estabrook,H,No Precipitation,Sunny,SunTrust Park,89,out to Rightfield,3,(R),0
Breyvic Valera,NA,PH,LAD,COL,COL201806010,Nic Lentz,Mark Carlson,Pat Hoberg,Gerry Davis,A,No Precipitation,Night,Coors Field,87,from Left to Right,7,(L),0
Carlos Estevez,NA,P,COL,MIA,COL201908180,Cory Blaser,Tony Randazzo,Jeff Nelson,Ramon De Jesus,H,No Precipitation,Sunny,Coors Field,76,out to Centerfield,4,(R),0
Jace Peterson,NA,PR,BAL,SEA,BAL201806260,Gary Cederstrom,Cory Blaser,Stu Scheurwater,Eric Cooper,H,No Precipitation,Night,Oriole Park at Camden Yards,80,out to Leftfield,10,(R),0
Kelby Tomlinson,NA,3B,SFG,PHI,PHI201805090,Mark Carlson,Brian Knight,Gerry Davis,Pat Hoberg,A,No Precipitation,Night,Citizens Bank Park,75,out to Leftfield,8,(R),0
Erik Kratz,7,C,MIL,STL,SLN201809260,Mark Carlson,Lance Barksdale,Will Little,Ted Barrett,A,No Precipitation,Cloudy,Busch Stadium III,68,from Left to Right,7,(R),0
Hector Rondon,NA,P,HOU,CLE,CLE201908010,Hunter Wendelstedt,Laz Diaz,Chris Segal,Vic Carapazza,A,No Precipitation,Night,Progressive Field,78,in from Rightfield,9,(R),0
Renato Nunez,4,DH,BAL,KCR,KCA201909010,Tony Randazzo,Jeff Nelson,Laz Diaz,Cory Blaser,A,No Precipitation,Overcast,Kauffman Stadium,75,from Left to Right,2,(R),0
Jesus Aguilar,3,1B,MIL,COL,MIL201808040,Adrian Johnson,Brian O'Nora,Tripp Gibson,Ryan Additon,H,No Precipitation,Night,Miller Park,89,in from Centerfield,12,(R),0
Matt Wieters,8,C,STL,LAD,LAN201908050,Bill Miller,Doug Eddings,Chris Conroy,Chad Whitson,A,No Precipitation,Night,Dodger Stadium,77,from Left to Right,5,(R),0
Anthony Rendon,3,3B,WSN,NYM,WAS201905160,Tony Randazzo,Jeff Nelson,Cory Blaser,Laz Diaz,H,No Precipitation,Cloudy,Nationals Park,74,out to Rightfield,10,(R),0
Jared Hughes,NA,P,CIN,SDP,SDN201904190,Chris Guccione,Lance Barrett,Mike Everitt,Bill Welke,A,No Precipitation,Cloudy,Petco Park,61,out to Rightfield,9,(R),0
Tony Cruz,7,C,CIN,NYM,CIN201805090,Ed Hickox,Ron Kulpa,Jerry Meals,Gabe Morales,H,No Precipitation,Cloudy,Great American Ball Park,79,from Right to Left,12,(R),0
Luis Rengifo,7,2B,LAA,LAD,LAN201907240,Sam Holbrook,Manny Gonzalez,Sean Barber,Dan Iassogna,A,No Precipitation,Cloudy,Dodger Stadium,83,out to Centerfield,4,(R),0
Leonys Martin,2,CF,CLE,MIA,CLE201904230,Manny Gonzalez,Chris Segal,Doug Eddings,Bill Miller,H,No Precipitation,Cloudy,Progressive Field,56,from Left to Right,19,(R),0
Kelvin Herrera,NA,P,CHW,MIN,CHA201906280,Sam Holbrook,Jim Wolf,Chad Whitson,Manny Gonzalez,H,No Precipitation,Cloudy,Guaranteed Rate Field,87,from Right to Left,8,(L),0
Jack Reinheimer,NA,3B,NYM,PHI,NYN201809090,Lance Barksdale,Sean Barber,Mark Carlson,Will Little,H,Rain,Overcast,Citi Field,61,in from Centerfield,13,(R),0
Manny Machado,3,3B,SDP,PHI,PHI201908160,Gary Cederstrom,Tom Woodring,Marvin Hudson,Adrian Johnson,A,No Precipitation,Night,Citizens Bank Park,82,out to Leftfield,8,(R),0
Alen Hanson,NA,PH,SFG,ARI,SFN201808270,Adrian Johnson,Cory Blaser,Tripp Gibson,Brian Gorman,H,No Precipitation,Cloudy,AT&T Park,58,out to Centerfield,13,(R),0
Jason Kipnis,8,2B,CLE,DET,DET201805160,Jerry Meals,Gabe Morales,Roberto Ortiz,Ed Hickox,A,No Precipitation,Cloudy,Comerica Park,70,in from Leftfield,6,(R),0
Trevor Cahill,NA,P,LAA,HOU,ANA201909260,Ben May,Larry Vanover,Alfonso Marquez,David Rackley,H,No Precipitation,Cloudy,Angel Stadium of Anaheim,72,out to Centerfield,8,(R),0
Ian Kinsler,6,2B,BOS,CLE,BOS201808200,Brian Knight,Jeremie Rehak,Gerry Davis,Pat Hoberg,H,No Precipitation,Cloudy,Fenway Park,70,in from Rightfield,13,(R),0
Joey Wendle,5,2B,TBR,NYY,NYA201806140,Ed Hickox,Jerry Meals,Gabe Morales,Jansen Visconti,A,No Precipitation,Cloudy,Yankee Stadium III,82,out to Rightfield,15,(L),0
Daniel Norris,NA,P,DET,MIA,DET201905220,DJ Reyburn,Fieldin Culbreth,Paul Nauert,CB Bucknor,H,No Precipitation,Cloudy,Comerica Park,69,out to Leftfield,8,(L),0
Leonys Martin,1,CF,DET,CLE,CLE201804090,Laz Diaz,Andy Fletcher,Manny Gonzalez,Jeff Nelson,A,No Precipitation,Night,Progressive Field,33,in from Rightfield,10,(L),0
Chaz Roe,NA,P,TBR,DET,DET201906060,Chad Fairchild,Bruce Dreckman,Paul Emmel,Mike Estabrook,A,No Precipitation,Cloudy,Comerica Park,65,from Right to Left,4,(R),0
Evan Longoria,4,3B,SFG,CHC,CHN201908200,Carlos Torres,Paul Nauert,Angel Hernandez,Ed Hickox,A,No Precipitation,Cloudy,Wrigley Field,76,out to Leftfield,2,(R),0
Jose Ramirez,5,3B,CLE,DET,CLE201907150,Tony Randazzo,Ben May,Cory Blaser,Laz Diaz,H,No Precipitation,Night,Progressive Field,86,out to Centerfield,3,(R),0
Ian Kinsler,1,2B,SDP,LAD,SDN201905040,Ramon De Jesus,Stu Scheurwater,Jim Reynolds,Alan Porter,H,No Precipitation,Night,Petco Park,66,from Left to Right,11,(L),0
Shawn Kelley,NA,P,OAK,LAD,OAK201808070,Mike Muchlinski,Mike Winters,Jansen Visconti,Tim Timmons,H,No Precipitation,Overcast,Oakland-Alameda County Coliseum,63,out to Rightfield,9,(L),0
Yoan Moncada,5,2B,CHW,BOS,CHA201809010,Sean Barber,Ted Barrett,Will Little,Lance Barksdale,H,No Precipitation,Cloudy,Guaranteed Rate Field,84,out to Leftfield,9,(L),0
Kyle Garlick,6,LF,LAD,ARI,ARI201906250,Alan Porter,Jim Reynolds,Stu Scheurwater,Mark Wegner,A,No Precipitation,Cloudy,Chase Field,103,out to Rightfield,12,(R),0
Stephen Strasburg,8,P,WSN,NYM,NYN201904040,Gerry Davis,Brian Knight,Jeremie Rehak,Pat Hoberg,A,No Precipitation,Sunny,Citi Field,52,out to Rightfield,15,(R),0
