Player,BattingOrder,Position,Team,Opponent,Game.ID,X1B.Ump,X2B.Ump,X3B.Ump,HP.Ump,H.A,Precipitation,Sky,Stadium,Temperature,Wind.Direction,Wind.Speed,PitchHand,HomeRun
Kole Calhoun,5,RF,LAA,OAK,ANA201804060,Pat Hoberg,Gerry Davis,Mark Carlson,Brian Knight,H,No Precipitation,Cloudy,Angel Stadium of Anaheim,65,out to Rightfield,4,(R),0
Xander Bogaerts,5,SS,BOS,NYY,NYA201906010,Chris Conroy,Mark Carlson,Jeremie Rehak,Bill Miller,A,No Precipitation,Cloudy,Yankee Stadium III,72,out to Leftfield,8,(R),1
Khris Davis,4,DH,OAK,LAA,OAK201806160,Mark Carlson,Brian Knight,Pat Hoberg,Nic Lentz,H,No Precipitation,Sunny,Oakland-Alameda County Coliseum,67,out to Rightfield,11,(L),0
Juan Lagares,NA,PH,NYM,STL,NYN201803290,Brian O'Nora,CB Bucknor,Chris Conroy,Fieldin Culbreth,H,No Precipitation,Cloudy,Citi Field,50,from Right to Left,9,(R),0
Tyler Clippard,NA,P,TOR,LAA,ANA201806240,Laz Diaz,Manny Gonzalez,Andy Fletcher,Todd Tichenor,A,No Precipitation,Sunny,Angel Stadium of Anaheim,75,out to Centerfield,7,(R),0
Austin Dean,8,LF,MIA,NYM,NYN201809110,Adam Hamari,Nick Mahrley,Tom Hallion,Dan Bellino,A,No Precipitation,Cloudy,Citi Field,73,in from Rightfield,4,(R),0
Justin Turner,3,3B,LAD,SDP,LAN201907070,Tom Hallion,Sean Barber,Adam Hamari,Todd Tichenor,H,No Precipitation,Cloudy,Dodger Stadium,71,out to Rightfield,4,(R),1
Miguel Sano,7,3B,MIN,CHW,MIN201909160,Lance Barrett,Chris Guccione,Jansen Visconti,Mike Everitt,H,No Precipitation,Cloudy,Target Field,82,in from Rightfield,10,(R),0
Kendrys Morales,6,DH,NYY,CLE,CLE201906070,Sean Barber,Larry Vanover,Dan Bellino,David Rackley,A,No Precipitation,Cloudy,Progressive Field,69,in from Rightfield,13,(R),0
Mitch Haniger,4,RF,SEA,MIN,MIN201804070,Tom Hallion,Phil Cuzzi,Dan Bellino,Adam Hamari,A,No Precipitation,Sunny,Target Field,27,out to Rightfield,12,(R),0
Jake McGee,NA,P,COL,PIT,COL201908290,Ben May,Adam Hamari,Tom Hallion,Todd Tichenor,H,No Precipitation,Cloudy,Coors Field,81,from Right to Left,11,(R),0
David Fletcher,1,3B,LAA,SEA,ANA201807120,Jim Wolf,DJ Reyburn,Ryan Blakney,Sam Holbrook,H,No Precipitation,Night,Angel Stadium of Anaheim,80,out to Centerfield,6,(L),1
Dan Jennings,NA,P,MIL,CIN,MIL201808210,Ryan Additon,Hunter Wendelstedt,Adrian Johnson,Tripp Gibson,H,No Precipitation,Cloudy,Miller Park,74,out to Leftfield,11,(R),0
Michael Chavis,6,2B,BOS,COL,BOS201905140,Sean Barber,Larry Vanover,David Rackley,Dan Bellino,H,No Precipitation,Cloudy,Fenway Park,44,in from Centerfield,8,(L),1
Freddie Freeman,3,1B,ATL,WSN,ATL201809160,Jeff Nelson,Laz Diaz,Manny Gonzalez,Phil Cuzzi,H,No Precipitation,Cloudy,SunTrust Park,77,out to Leftfield,11,(L),0
Tim Hill,NA,P,KCR,BAL,BAL201908210,Manny Gonzalez,Sam Holbrook,Jim Wolf,Ramon De Jesus,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,86,out to Centerfield,7,(L),0
Justin Verlander,NA,P,HOU,TEX,TEX201806080,Sam Holbrook,Alfonso Marquez,DJ Reyburn,Ryan Blakney,A,No Precipitation,Cloudy,Globe Life Park in Arlington,95,in from Rightfield,9,(R),0
Starlin Castro,1,2B,MIA,TBR,MIA201807030,Chris Segal,Gabe Morales,Ed Hickox,Jerry Meals,H,No Precipitation,Cloudy,Marlins Park,85,in from Leftfield,10,(R),0
Zack Wheeler,9,P,NYM,LAD,NYN201909150,Dan Iassogna,Hunter Wendelstedt,Ben May,Vic Carapazza,H,No Precipitation,Cloudy,Citi Field,78,out to Centerfield,9,(R),0
Brian Duensing,NA,P,CHC,LAD,LAN201806270,Alan Porter,Angel Hernandez,Bill Miller,Todd Tichenor,A,No Precipitation,Night,Dodger Stadium,74,from Left to Right,5,(R),0
John Brebbia,NA,P,STL,CHC,CHN201905040,David Rackley,Dan Bellino,Alfonso Marquez,Larry Vanover,A,No Precipitation,Sunny,Wrigley Field,56,from Right to Left,8,(R),0
Jeff Mathis,8,C,ARI,COL,COL201806080,Gabe Morales,Ed Hickox,Jerry Meals,Chris Segal,A,No Precipitation,Cloudy,Coors Field,91,in from Centerfield,9,(R),0
Matt Adams,3,1B,WSN,PIT,WAS201805020,Chad Fairchild,Bruce Dreckman,Mike Estabrook,Eric Cooper,H,No Precipitation,Night,Nationals Park,89,out to Centerfield,7,(R),1
Alex Verdugo,5,CF,LAD,SDP,LAN201905140,Scott Barry,Tripp Gibson,Jansen Visconti,Alfonso Marquez,H,No Precipitation,Cloudy,Dodger Stadium,66,from Left to Right,4,(L),0
Wily Peralta,NA,P,KCR,TBR,KCA201905020,John Tumpane,Nic Lentz,Ted Barrett,Kerwin Danley,H,No Precipitation,Cloudy,Kauffman Stadium,58,from Left to Right,11,(L),0
Albert Pujols,5,1B,LAA,MIN,MIN201905140,Eric Cooper,Andy Fletcher,Will Little,Joe West,A,No Precipitation,Cloudy,Target Field,72,out to Leftfield,9,(R),0
Ketel Marte,6,2B,ARI,MIL,ARI201805150,Jeremie Rehak,Bill Miller,Todd Tichenor,Alan Porter,H,No Precipitation,Night,Chase Field,94,from Left to Right,7,(R),0
Matt Grace,NA,P,WSN,NYM,NYN201807140,Marvin Hudson,Bill Miller,John Libka,Alan Porter,A,No Precipitation,Sunny,Citi Field,88,out to Centerfield,11,(R),0
Jose Pirela,NA,PH,SDP,ARI,SDN201807290,Pat Hoberg,Ryan Additon,Alfonso Marquez,Brian Knight,H,No Precipitation,Sunny,Petco Park,85,from Left to Right,14,(L),0
Travis Jankowski,1,LF,SDP,ATL,ATL201806150,Doug Eddings,Nick Mahrley,Mark Ripperger,Joe West,A,No Precipitation,Cloudy,SunTrust Park,85,in from Rightfield,5,(L),0
Miguel Rojas,1,SS,MIA,SFG,SFN201909150,Nick Mahrley,Fieldin Culbreth,CB Bucknor,DJ Reyburn,A,No Precipitation,Cloudy,Oracle Park,64,out to Centerfield,14,(R),0
Trea Turner,1,SS,WSN,SDP,WAS201805230,Cory Blaser,Stu Scheurwater,Eric Cooper,Gary Cederstrom,H,No Precipitation,Cloudy,Nationals Park,81,in from Leftfield,10,(R),0
Whit Merrifield,2,2B,KCR,CHW,KCA201803310,Adrian Johnson,Tripp Gibson,Brian Gorman,Dan Iassogna,H,No Precipitation,Cloudy,Kauffman Stadium,45,from Left to Right,18,(R),0
Devin Mesoraco,6,C,NYM,TOR,NYN201805150,Nic Lentz,Tony Randazzo,Lance Barrett,Bill Welke,H,No Precipitation,Cloudy,Citi Field,67,out to Centerfield,5,(R),1
Cole Hamels,9,P,CHC,CIN,CHN201909160,Laz Diaz,Tony Randazzo,Cory Blaser,Jeff Nelson,H,No Precipitation,Cloudy,Wrigley Field,67,in from Centerfield,6,(L),0
Shin-Soo Choo,1,DH,TEX,LAA,TEX201808190,Vic Carapazza,CB Bucknor,Fieldin Culbreth,Chris Conroy,H,No Precipitation,Cloudy,Globe Life Park in Arlington,92,in from Rightfield,9,(R),0
Franklin Barreto,9,2B,OAK,MIL,OAK201907310,Cory Blaser,Jeff Nelson,Jim Wolf,Nick Mahrley,H,No Precipitation,Night,Oakland-Alameda County Coliseum,69,out to Rightfield,14,(L),0
Kelvin Herrera,NA,P,CHW,MIN,MIN201909160,Lance Barrett,Chris Guccione,Jansen Visconti,Mike Everitt,A,No Precipitation,Cloudy,Target Field,82,in from Rightfield,10,(R),0
Drew Butera,9,C,KCR,CHW,KCA201804281,Jordan Baker,Sean Barber,Jerry Layne,Greg Gibson,H,No Precipitation,Sunny,Kauffman Stadium,64,from Right to Left,9,(R),0
Sam Dyson,NA,P,SFG,COL,COL201907152,Chad Whitson,Larry Vanover,Ramon De Jesus,Dan Bellino,A,No Precipitation,Cloudy,Coors Field,75,out to Centerfield,7,(R),0
Brian Goodwin,NA,PH,LAA,LAD,LAN201907230,Dan Iassogna,Sam Holbrook,Manny Gonzalez,Sean Barber,A,No Precipitation,Night,Dodger Stadium,82,out to Centerfield,5,(R),0
Billy Hamilton,9,CF,CIN,PHI,CIN201807270,Alan Porter,Nick Mahrley,Chris Guccione,Bill Miller,H,No Precipitation,Cloudy,Great American Ball Park,82,out to Centerfield,8,(R),0
Kyle Seager,5,3B,SEA,LAD,SEA201808180,Andy Fletcher,Bruce Dreckman,Mike Estabrook,Marvin Hudson,H,No Precipitation,Cloudy,Safeco Field,73,out to Rightfield,2,(R),1
DJ LeMahieu,1,2B,COL,SDP,COL201804110,Dan Iassogna,Adrian Johnson,Tripp Gibson,Brian Gorman,H,No Precipitation,Sunny,Coors Field,75,from Left to Right,9,(R),0
Brandon McCarthy,9,P,ATL,COL,COL201804060,Bill Welke,Tony Randazzo,Lance Barrett,Nic Lentz,A,Snow,Overcast,Coors Field,27,from Right to Left,4,(R),0
Mike Clevinger,NA,P,CLE,DET,DET201806090,Adrian Johnson,Tripp Gibson,Chad Whitson,Brian Gorman,A,No Precipitation,Overcast,Comerica Park,67,from Left to Right,9,(R),0
Jake Bauers,5,DH,CLE,DET,CLE201909170,Ben May,Tom Hallion,Phil Cuzzi,Adam Hamari,H,No Precipitation,Night,Progressive Field,73,in from Rightfield,12,(R),0
Freddie Freeman,3,1B,ATL,STL,ATL201809170,Vic Carapazza,Jim Wolf,DJ Reyburn,Sam Holbrook,H,No Precipitation,Cloudy,SunTrust Park,84,out to Leftfield,5,(R),1
Adam Morgan,NA,P,PHI,CHC,CHN201806070,Jerry Layne,Jordan Baker,Vic Carapazza,Nick Mahrley,A,No Precipitation,Sunny,Wrigley Field,73,in from Rightfield,9,(R),0
Evan Longoria,6,3B,SFG,BAL,BAL201906010,Chris Segal,Kerwin Danley,Mike Muchlinski,Rob Drake,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,85,from Right to Left,4,(R),0
Brandon Crawford,1,SS,SFG,COL,SFN201909250,Alex Tosi,Gary Cederstrom,Adrian Johnson,Todd Tichenor,H,No Precipitation,Night,Oracle Park,83,out to Centerfield,11,(R),0
Bryce Harper,3,RF,PHI,PIT,PIT201907210,Cory Blaser,Laz Diaz,Tony Randazzo,Ben May,A,No Precipitation,Cloudy,PNC Park,90,out to Leftfield,8,(L),0
Matt Kemp,5,LF,LAD,MIA,LAN201804240,Joe West,Doug Eddings,Marty Foster,Mark Ripperger,H,No Precipitation,Cloudy,Dodger Stadium,65,from Left to Right,5,(R),0
David Hernandez,NA,P,CIN,CHC,CIN201905160,Angel Hernandez,Ed Hickox,Roberto Ortiz,Dana DeMuth,H,No Precipitation,Cloudy,Great American Ball Park,77,in from Rightfield,9,(R),0
Tim Anderson,2,SS,CHW,CLE,CHA201909260,Shane Livensparger,Brian O'Nora,Mark Ripperger,James Hoye,H,No Precipitation,Cloudy,Guaranteed Rate Field,66,in from Centerfield,6,(R),0
Albert Almora,NA,CF,CHC,COL,COL201906100,Gary Cederstrom,Roberto Ortiz,Adrian Johnson,Quinn Wolcott,A,No Precipitation,Cloudy,Coors Field,79,out to Leftfield,4,(R),0
Luis Garcia,NA,P,PHI,NYM,PHI201808180,Chris Guccione,Marty Foster,Mark Ripperger,Gerry Davis,H,No Precipitation,Sunny,Citizens Bank Park,88,from Left to Right,12,(R),0
Jorge Polanco,2,SS,MIN,CHW,MIN201909160,Lance Barrett,Chris Guccione,Jansen Visconti,Mike Everitt,H,No Precipitation,Cloudy,Target Field,82,in from Rightfield,10,(R),0
Nelson Cruz,NA,PH,MIN,HOU,MIN201904290,Bill Miller,Chris Segal,Doug Eddings,Adrian Johnson,H,No Precipitation,Cloudy,Target Field,54,from Left to Right,7,(R),0
Delino DeShields,8,CF,TEX,SEA,TEX201907300,Mike Muchlinski,Marty Foster,Ryan Blakney,Mark Carlson,H,No Precipitation,Night,Globe Life Park in Arlington,98,out to Centerfield,8,(R),0
Sam Howard,NA,P,COL,SFG,SFN201909260,Gary Cederstrom,Adrian Johnson,Todd Tichenor,Alex Tosi,A,No Precipitation,Sunny,Oracle Park,76,out to Rightfield,14,(L),0
Ian Kennedy,NA,P,KCR,MIN,KCA201906200,Marty Foster,Jerry Meals,Tom Woodring,Gabe Morales,H,No Precipitation,Night,Kauffman Stadium,87,from Right to Left,9,(R),0
Whit Merrifield,1,DH,KCR,DET,DET201809200,Brian Gorman,Nic Lentz,Tripp Gibson,Adrian Johnson,A,No Precipitation,Cloudy,Comerica Park,75,in from Centerfield,6,(R),0
Carlos Carrasco,NA,P,CLE,HOU,CLE201805260,Tony Randazzo,Bill Welke,James Hoye,Lance Barrett,H,No Precipitation,Cloudy,Progressive Field,72,out to Leftfield,6,(R),0
Maikel Franco,5,3B,PHI,LAD,LAN201805280,Kerwin Danley,Tom Woodring,Will Little,Ted Barrett,A,No Precipitation,Night,Dodger Stadium,73,in from Centerfield,6,(R),0
Adam Jones,4,RF,ARI,LAD,LAN201903290,Tripp Gibson,No Umpire,Nic Lentz,Brian Gorman,A,No Precipitation,Night,Dodger Stadium,64,from Left to Right,1,(L),0
Josh Reddick,4,RF,HOU,LAA,HOU201804240,Gary Cederstrom,Cory Blaser,Stu Scheurwater,Eric Cooper,H,No Precipitation,Cloudy,Minute Maid Park,83,in from Centerfield,5,(R),0
Dario Agrazal,9,P,PIT,MIL,PIT201907060,DJ Reyburn,Fieldin Culbreth,Chris Conroy,Jordan Baker,H,No Precipitation,Cloudy,PNC Park,74,out to Centerfield,11,(R),0
Jonathan Villar,1,2B,BAL,BOS,BOS201904150,Mark Wegner,Jim Reynolds,Hunter Wendelstedt,Stu Scheurwater,A,No Precipitation,Cloudy,Fenway Park,56,out to Leftfield,9,(R),0
Kolten Wong,8,2B,STL,CIN,CIN201908160,Rob Drake,Tim Timmons,Roberto Ortiz,Mike Muchlinski,A,No Precipitation,Cloudy,Great American Ball Park,88,from Right to Left,5,(R),1
Shin-Soo Choo,1,DH,TEX,NYY,NYA201808090,Kerwin Danley,Ben May,Lance Barksdale,Will Little,A,No Precipitation,Night,Yankee Stadium III,87,out to Rightfield,10,(R),0
Joc Pederson,6,LF,LAD,SFG,SFN201804282,Dan Iassogna,Adrian Johnson,Roberto Ortiz,Brian Gorman,A,No Precipitation,Cloudy,AT&T Park,58,out to Centerfield,13,(L),0
Zach Plesac,NA,P,CLE,NYY,CLE201906070,Sean Barber,Larry Vanover,Dan Bellino,David Rackley,H,No Precipitation,Cloudy,Progressive Field,69,in from Rightfield,13,(R),0
Kevin Newman,1,SS,PIT,ATL,ATL201906100,Mark Carlson,Jansen Visconti,Tripp Gibson,Brian Gorman,A,No Precipitation,Cloudy,SunTrust Park,79,out to Leftfield,6,(R),0
Brandon Maurer,NA,P,KCR,CLE,KCA201808260,Eric Cooper,Ramon De Jesus,Stu Scheurwater,Gary Cederstrom,H,No Precipitation,Cloudy,Kauffman Stadium,91,from Right to Left,15,(R),0
Starlin Castro,2,2B,MIA,NYM,NYN201809280,Tim Timmons,Ryan Blakney,Mike Muchlinski,Mike Winters,A,No Precipitation,Cloudy,Citi Field,63,in from Leftfield,7,(R),0
Jesus Sucre,9,C,TBR,NYY,NYA201808140,Jordan Baker,Jerry Layne,Greg Gibson,Nic Lentz,A,No Precipitation,Cloudy,Yankee Stadium III,76,from Right to Left,9,(R),0
Jose Abreu,3,1B,CHW,DET,CHA201907032,Jansen Visconti,Chris Conroy,Mark Wegner,Doug Eddings,H,No Precipitation,Cloudy,Guaranteed Rate Field,82,from Left to Right,7,(L),1
Nolan Arenado,3,3B,COL,CIN,COL201805260,Dan Bellino,Tom Hallion,Adam Hamari,Bruce Dreckman,H,No Precipitation,Cloudy,Coors Field,85,from Left to Right,2,(L),0
Zack Wheeler,9,P,NYM,CHC,CHN201906220,Dan Bellino,David Rackley,Larry Vanover,Alfonso Marquez,A,No Precipitation,Cloudy,Wrigley Field,72,in from Rightfield,10,(R),0
Nick Burdi,NA,P,PIT,WSN,WAS201904140,Mark Carlson,Scott Barry,Nic Lentz,Kerwin Danley,A,No Precipitation,Cloudy,Nationals Park,73,out to Leftfield,10,(R),0
Ivan Nova,NA,P,CHW,SEA,CHA201904070,Bruce Dreckman,Chad Fairchild,Mike Estabrook,Paul Emmel,H,No Precipitation,Cloudy,Guaranteed Rate Field,63,from Right to Left,7,(R),0
Drew Robinson,9,CF-3B,TEX,HOU,TEX201804010,Jerry Meals,Ron Kulpa,Ed Hickox,Gabe Morales,H,No Precipitation,Overcast,Globe Life Park in Arlington,71,in from Rightfield,9,(L),1
George Springer,1,RF-CF,HOU,TOR,TOR201908310,Paul Emmel,Ryan Blakney,Mike Estabrook,Bruce Dreckman,A,No Precipitation,Cloudy,Rogers Centre,68,from Right to Left,10,(L),0
Tim Federowicz,NA,C,TEX,HOU,TEX201907130,Tim Timmons,Mike Winters,Nick Mahrley,Mike Muchlinski,H,No Precipitation,Cloudy,Globe Life Park in Arlington,90,from Left to Right,10,(L),0
Alex Claudio,NA,P,MIL,LAD,LAN201904120,Jeremie Rehak,No Umpire,Gerry Davis,Pat Hoberg,A,No Precipitation,Night,Dodger Stadium,69,out to Rightfield,7,(R),0
Jimmy Cordero,NA,P,WSN,PHI,PHI201808280,Chris Segal,Alfonso Marquez,Jim Wolf,Sam Holbrook,A,No Precipitation,Night,Citizens Bank Park,92,out to Centerfield,10,(R),0
Meibrys Viloria,9,C,KCR,CLE,KCA201907280,Eric Cooper,Larry Vanover,Ramon De Jesus,David Rackley,H,No Precipitation,Sunny,Kauffman Stadium,89,from Right to Left,17,(L),0
Ian Desmond,5,CF,COL,HOU,COL201907030,Tom Hallion,Sean Barber,Adam Hamari,Todd Tichenor,H,No Precipitation,Cloudy,Coors Field,90,out to Leftfield,2,(R),0
Mark Canha,5,CF,OAK,LAD,OAK201808070,Mike Muchlinski,Mike Winters,Jansen Visconti,Tim Timmons,H,No Precipitation,Overcast,Oakland-Alameda County Coliseum,63,out to Rightfield,9,(L),0
Tommy La Stella,NA,3B,CHC,SFG,SFN201807110,Jansen Visconti,Jeff Nelson,Laz Diaz,Manny Gonzalez,A,No Precipitation,Sunny,AT&T Park,70,out to Centerfield,12,(L),0
Justin Turner,2,3B,LAD,ARI,ARI201906250,Alan Porter,Jim Reynolds,Stu Scheurwater,Mark Wegner,A,No Precipitation,Cloudy,Chase Field,103,out to Rightfield,12,(R),1
David Bote,6,3B,CHC,MIL,CHN201905120,Will Little,Joe West,Eric Cooper,Andy Fletcher,H,No Precipitation,Overcast,Wrigley Field,46,from Left to Right,15,(L),0
Hanser Alberto,1,3B-2B,BAL,BOS,BAL201906160,Bruce Dreckman,Mark Carlson,Jansen Visconti,Tripp Gibson,H,No Precipitation,Overcast,Oriole Park at Camden Yards,81,out to Centerfield,6,(L),0
Santiago Casilla,NA,P,OAK,NYY,NYA201805120,Quinn Wolcott,Jeff Kellogg,Marvin Hudson,James Hoye,A,No Precipitation,Cloudy,Yankee Stadium III,58,in from Rightfield,10,(R),0
Marwin Gonzalez,5,LF,HOU,LAA,ANA201808250,Mike Estabrook,Chad Fairchild,Marvin Hudson,Bruce Dreckman,A,No Precipitation,Night,Angel Stadium of Anaheim,79,out to Centerfield,8,(R),1
Alex Avila,8,C,ARI,LAD,ARI201804020,Gerry Davis,Mark Carlson,Brian Knight,Pat Hoberg,H,No Precipitation,Night,Chase Field,86,out to Centerfield,5,(R),0
Edward Paredes,NA,P,LAD,TEX,LAN201806130,Tony Randazzo,Bill Welke,Lance Barrett,Sean Barber,H,No Precipitation,Night,Dodger Stadium,76,out to Rightfield,5,(R),0
Erik Gonzalez,9,3B,CLE,TEX,CLE201805020,Mark Carlson,Brian Knight,Pat Hoberg,Chris Segal,H,No Precipitation,Cloudy,Progressive Field,82,out to Rightfield,18,(R),0
Miguel Castro,NA,P,BAL,NYY,BAL201905230,Sean Barber,Larry Vanover,David Rackley,Jim Reynolds,H,No Precipitation,Cloudy,Oriole Park at Camden Yards,77,in from Leftfield,7,(R),0
Kevin Pillar,6,RF,SFG,BAL,BAL201906020,Kerwin Danley,Mike Muchlinski,Rob Drake,Chris Segal,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,84,out to Centerfield,9,(R),0
Silvino Bracho,NA,P,ARI,LAD,LAN201804150,Brian Gorman,Dan Iassogna,Adrian Johnson,Tripp Gibson,A,No Precipitation,Cloudy,Dodger Stadium,78,out to Rightfield,5,(R),0
Aaron Brooks,NA,P,BAL,SEA,BAL201909200,Adam Hamari,Ben May,Stu Scheurwater,Phil Cuzzi,H,No Precipitation,Night,Oriole Park at Camden Yards,75,in from Rightfield,5,(L),0
Addison Reed,NA,P,MIN,MIL,MIL201807020,Marty Foster,Joe West,Mark Ripperger,Doug Eddings,A,No Precipitation,Night,Miller Park,83,in from Centerfield,7,(R),0
Luis Cessa,NA,P,NYY,KCR,KCA201905251,John Libka,Fieldin Culbreth,DJ Reyburn,CB Bucknor,A,No Precipitation,Cloudy,Kauffman Stadium,82,from Right to Left,15,(L),0
Mark Reynolds,5,1B,WSN,NYM,NYN201807120,John Libka,Alan Porter,Marvin Hudson,Bill Miller,A,No Precipitation,Night,Citi Field,79,out to Leftfield,10,(R),0
Drew Pomeranz,NA,P,BOS,TBR,BOS201804270,Ryan Blakney,Jim Wolf,DJ Reyburn,Sam Holbrook,H,No Precipitation,Overcast,Fenway Park,48,out to Rightfield,7,(L),0
Jonathan Schoop,6,2B,BAL,MIA,BAL201806150,CB Bucknor,Chris Conroy,Brian O'Nora,Fieldin Culbreth,H,No Precipitation,Night,Oriole Park at Camden Yards,81,from Left to Right,4,(R),0
Addison Reed,NA,P,MIN,KCR,MIN201809080,John Libka,Chad Fairchild,Kerwin Danley,Bruce Dreckman,H,No Precipitation,Night,Target Field,73,in from Leftfield,13,(R),0
Jose Altuve,3,2B,HOU,NYY,NYA201906200,Dan Iassogna,Manny Gonzalez,Sean Barber,Sam Holbrook,A,No Precipitation,Cloudy,Yankee Stadium III,73,from Right to Left,6,(L),0
Billy Hamilton,9,CF,CIN,SFG,SFN201805150,Doug Eddings,Marty Foster,Mark Ripperger,Joe West,A,No Precipitation,Cloudy,AT&T Park,60,out to Centerfield,16,(R),0
Reese McGuire,9,C,TOR,NYY,TOR201908080,Chris Segal,Dan Iassogna,Manny Gonzalez,Jim Wolf,H,No Precipitation,Cloudy,Rogers Centre,78,from Left to Right,15,(L),1
Joe Mauer,1,DH,MIN,TEX,MIN201806230,Brian Gorman,Chad Whitson,Adrian Johnson,Tripp Gibson,H,No Precipitation,Cloudy,Target Field,78,out to Leftfield,3,(R),0
Andrelton Simmons,5,SS,LAA,BAL,BAL201807010,Tom Hallion,Adam Hamari,Phil Cuzzi,Dan Bellino,A,No Precipitation,Sunny,Oriole Park at Camden Yards,94,out to Leftfield,4,(R),0
Yoshihisa Hirano,NA,P,ARI,SFG,ARI201905170,Will Little,Joe West,Eric Cooper,Andy Fletcher,H,No Precipitation,Cloudy,Chase Field,82,out to Centerfield,14,(R),0
Ty Blach,9,P,SFG,PHI,PHI201805100,Brian Knight,Gerry Davis,Pat Hoberg,Mark Carlson,A,No Precipitation,Cloudy,Citizens Bank Park,71,out to Centerfield,10,(L),0
Luis Castillo,9,P,CIN,LAD,CIN201809110,Chris Guccione,David Rackley,Larry Vanover,Jansen Visconti,H,No Precipitation,Cloudy,Great American Ball Park,69,from Left to Right,3,(R),0
Yangervis Solarte,4,DH,TOR,LAA,TOR201805230,Jim Reynolds,Ben May,Mike DiMuro,Mark Wegner,H,No Precipitation,Night,Rogers Centre,77,in from Centerfield,12,(R),1
Brandon Lowe,1,2B,TBR,MIN,MIN201906250,Jeff Nelson,Adam Hamari,Todd Tichenor,Tom Hallion,A,No Precipitation,Cloudy,Target Field,82,out to Rightfield,14,(L),0
Chasen Bradford,NA,P,SEA,OAK,OAK201809010,Cory Blaser,Tripp Gibson,Brian Gorman,Adrian Johnson,A,No Precipitation,Night,Oakland-Alameda County Coliseum,63,out to Rightfield,11,(L),0
Hernan Perez,5,RF,MIL,MIN,MIN201805200,Sean Barber,Marty Foster,Mark Ripperger,Joe West,A,No Precipitation,Sunny,Target Field,65,in from Centerfield,10,(R),0
Jose Martinez,5,RF,STL,OAK,SLN201906260,Jerry Meals,Tom Woodring,Gabe Morales,Ron Kulpa,H,No Precipitation,Cloudy,Busch Stadium III,70,out to Leftfield,7,(R),0
Yoan Moncada,1,2B,CHW,MIN,MIN201809290,Jim Reynolds,Mark Wegner,John Tumpane,John Libka,A,No Precipitation,Overcast,Target Field,47,in from Centerfield,9,(L),0
Chris Young,NA,PR-CF,LAA,BOS,BOS201806270,Ed Hickox,Jerry Meals,Chris Segal,Gabe Morales,A,No Precipitation,Cloudy,Fenway Park,73,out to Leftfield,13,(L),0
Kevin Kiermaier,6,CF,TBR,MIN,MIN201906250,Jeff Nelson,Adam Hamari,Todd Tichenor,Tom Hallion,A,No Precipitation,Cloudy,Target Field,82,out to Rightfield,14,(L),0
Tom Murphy,NA,PH,COL,SFG,SFN201809150,Jerry Meals,Ed Hickox,Gabe Morales,Ramon De Jesus,A,No Precipitation,Cloudy,AT&T Park,60,out to Centerfield,17,(R),0
Eric Haase,NA,PH-DH,CLE,LAA,ANA201909100,Tom Woodring,Lance Barrett,Chris Guccione,Bill Welke,A,No Precipitation,Cloudy,Angel Stadium of Anaheim,72,out to Centerfield,8,(R),0
Adam Jones,3,CF,BAL,TEX,TEX201808030,Mike Estabrook,Mark Carlson,Bruce Dreckman,Tom Woodring,A,No Precipitation,Night,Globe Life Park in Arlington,97,in from Centerfield,13,(R),0
Clay Holmes,NA,P,PIT,MIL,MIL201906070,Jim Wolf,Mark Ripperger,Dan Iassogna,Sam Holbrook,A,No Precipitation,Night,Miller Park,74,in from Leftfield,9,(R),0
Peter Moylan,NA,P,ATL,WSN,ATL201806020,Brian Knight,Dan Bellino,Tom Hallion,Adam Hamari,H,No Precipitation,Cloudy,SunTrust Park,87,out to Leftfield,9,(R),0
Jason Kipnis,6,2B,CLE,CHW,CHA201808110,Tom Woodring,Scott Barry,Carlos Torres,Paul Nauert,A,No Precipitation,Cloudy,Guaranteed Rate Field,81,out to Rightfield,7,(R),0
Kole Calhoun,7,RF,LAA,KCR,KCA201806250,Jordan Baker,Greg Gibson,Jerry Layne,Vic Carapazza,A,No Precipitation,Cloudy,Kauffman Stadium,84,from Right to Left,13,(L),0
Nick Pivetta,9,P,PHI,ATL,ATL201906140,Jim Reynolds,Stu Scheurwater,Mark Wegner,Jeremie Rehak,A,No Precipitation,Night,SunTrust Park,80,in from Rightfield,5,(R),0
Trey Mancini,2,RF,BAL,LAA,BAL201905100,Adam Hamari,Nick Mahrley,Todd Tichenor,Tom Hallion,H,No Precipitation,Overcast,Oriole Park at Camden Yards,73,out to Centerfield,6,(R),1
Jorge Alfaro,8,C,PHI,NYY,PHI201806250,Mark Ripperger,Doug Eddings,Marty Foster,Joe West,H,No Precipitation,Night,Citizens Bank Park,80,from Left to Right,10,(R),0
John Brebbia,NA,P,STL,PHI,SLN201805170,David Rackley,Larry Vanover,Hunter Wendelstedt,Ramon De Jesus,H,No Precipitation,Overcast,Busch Stadium III,81,from Right to Left,10,(R),0
Kole Calhoun,5,RF,LAA,CLE,ANA201909100,Tom Woodring,Lance Barrett,Chris Guccione,Bill Welke,H,No Precipitation,Cloudy,Angel Stadium of Anaheim,72,out to Centerfield,8,(L),0
